place_id,name,address,phone,international_phone,website,rating,total_reviews,types,matched_keyword,vicinity,score,_tier
ChIJE16se4ypXZQRsLybxpIVYO4,Crecer Inmobiliaria,"Alfredo Seiferheld, Asunción 001421, Paraguay",(021) 338 1199,+595 21 338 1199,http://www.crecer.com.py/,4.8,297,"['establishment', 'point_of_interest', 'real_estate_agency']",inmobiliaria,,80,A
ChIJT7ufQcylXZQRM2Cbph-ev5k,Universidad Maria Auxiliadora,"QF76+5VJ, Asunción 001506, Paraguay",(021) 296 900,+595 21 296 900,http://www.umax.edu.py/,4.5,344,"['establishment', 'health', 'point_of_interest', 'university']",universidad,,75,A
ChIJRykE0venXZQREguw6qus0X8,Universidad Iberoamericana (UNIBE),"Avenida Ygatimi, Entre 15 de agosto y O'leary, Asunción 1270, Paraguay",(021) 446 148,+595 21 446 148,http://www.unibe.edu.py/,4.4,228,"['establishment', 'point_of_interest', 'university']",universidad privada paraguay,,70,A
ChIJacUE4neoXZQR8vzoWJs19Yo,Urba Inmobiliaria,"Av Gral Máximo Santos y, Asunción 001208, Paraguay",(021) 204 646,+595 21 204 646,https://www.urba.com.py/,4.5,192,"['establishment', 'point_of_interest', 'real_estate_agency']",inmobiliaria,,70,A
ChIJ10PBDwmvXZQR_odjEDxBv9I,"Dr. Carlos Escauriza Benítez, Abogado","Mariano Roque Alonso CASI, Asunción 001004, Paraguay",0983 214530,+595 983 214530,https://carlosescaurizabenitez.com/,4.8,55,"['establishment', 'lawyer', 'point_of_interest']",abogado,,70,A
ChIJmY66Zu6nXZQRYJ3fRe9z8dU,Abas Inmobiliaria,"Eligio Ayala 196, Asunción 001101, Paraguay",(021) 444 061,+595 21 444 061,http://www.abas.com.py,4.5,148,"['establishment', 'general_contractor', 'point_of_interest']",inmobiliaria,,70,A
ChIJsbZ9BACnXZQRP55DjQJFJZs,Villamayor Abogados,"Cerro Corá 1048, Asunción 001220, Paraguay",0981 290835,+595 981 290835,,5.0,127,"['establishment', 'point_of_interest']",abogado,,70,A
ChIJjzdy9uinXZQRqeq1UwY83I8,Bernis Abogados,"Milano, Asunción 001102, Paraguay",0981 149854,+595 981 149854,,4.8,122,"['establishment', 'point_of_interest']",abogado,,70,A
ChIJT33nPPGnXZQRWxWAHSUtMj8,Inmobiliaria del Este S.A.,"Humaita 222, Asunción 1244, Paraguay",(021) 413 1000,+595 21 413 1000,http://www.idesa.com.py/,4.0,553,"['establishment', 'point_of_interest', 'real_estate_agency']",inmobiliaria,,70,A
ChIJZZ2p5_2nXZQRWfnh8G1JyXU,Inmobiliaria Nueva Alianza Propiedades,"Av. Brasilia n° 639, Asunción 001204, Paraguay",(021) 328 3328,+595 21 328 3328,http://www.inmobiliariana.com.py/,5.0,65,"['establishment', 'finance', 'point_of_interest', 'real_estate_agency']",inmobiliaria,,70,A
ChIJ8XvMPs2nXZQRtyg-SUjwoY8,Universidad Americana,"Av. Brasilia 1100, Asunción 1429, Paraguay",(021) 729 4900,+595 21 729 4900,https://www.americana.edu.py/,4.2,879,"['establishment', 'point_of_interest', 'university']",universidad,,70,A
ChIJr7XigNanXZQReUPBer_c_Jc,Universidad Metropolitana de Asunción,"Rca. Dominicana 387, Asunción 001208, Paraguay",(021) 201 939,+595 21 201 939,http://uma.edu.py/,4.6,152,"['establishment', 'point_of_interest', 'university']",universidad,,70,A
ChIJ8dvoTvWnXZQRyyzpXHLz3Vc,Universidad Autónoma del Paraguay,"Colón 658 e/ Gral. Diaz y Eduardo Víctor Haedo, Asunción 001010, Paraguay",(021) 447 579,+595 21 447 579,http://uap.edu.py/,4.5,186,"['establishment', 'point_of_interest', 'university']",universidad privada paraguay,,70,A
ChIJwefWgIiuXZQRl0EkTM47n0Y,Universidad San Lorenzo,"Dir.: España 330 c/ San Lorenzo y Cnel. Bogado España N° 412, San Lorenzo 2160, San Lorenzo 111422, Paraguay",(021) 235 8000,+595 21 235 8000,https://www.unisal.edu.py/,4.2,381,"['establishment', 'point_of_interest', 'university']",universidad,,70,A
ChIJI1yDoOinXZQRj9msNtFfQIE,La Paraguaya Inmobiliaria S.A.,"Av. Estados Unidos 202, Asunción 001218, Paraguay",(021) 413 7000,+595 21 413 7000,http://www.lpi.com.py/,4.1,306,"['establishment', 'point_of_interest', 'real_estate_agency']",inmobiliaria paraguay,,70,A
ChIJ70ogivSnXZQRGXuyKEiXoqc,Aurora Inmobiliaria S.A.,"Alberdi, Asunción 001102, Paraguay",(021) 491 262,+595 21 491 262,http://www.aurora.com.py/,4.2,230,"['establishment', 'point_of_interest', 'real_estate_agency']",inmobiliaria paraguay,,70,A
